HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459414.9260610,2021-07-19.4295364,bH,1.44,14.935,10.636,0.005,202.038,0.989,g
2459414.9273612,2021-07-19.4308365,bH,1.44,14.961,10.681,0.006,194.064,1.023,g
2459414.9286673,2021-07-19.4321426,bH,1.48,14.960,10.666,0.005,196.591,0.994,g
2459416.9259062,2021-07-21.4292722,bl,1.55,14.871,10.643,0.006,200.911,1.196,g
2459416.9271445,2021-07-21.4305105,bl,1.46,14.872,10.659,0.005,197.808,1.011,g
2459416.9283899,2021-07-21.4317557,bl,1.49,14.876,10.664,0.005,196.945,1.018,g
2459417.9374981,2021-07-22.4408069,bl,2.29,14.793,10.636,0.006,202.023,1.148,g
2459417.9387366,2021-07-22.4420453,bl,2.34,14.750,10.669,0.007,196.226,1.326,g
2459417.9399818,2021-07-22.4432905,bl,2.0,14.813,10.661,0.006,197.478,1.087,g
2459420.6773955,2021-07-25.1805436,bp,1.56,14.890,10.656,0.005,198.282,1.045,g
2459420.6787160,2021-07-25.1818641,bp,1.63,14.870,10.658,0.006,197.988,1.105,g
2459420.6799682,2021-07-25.1831163,bp,1.66,14.897,10.665,0.005,196.864,0.986,g
2459421.6559740,2021-07-26.1590628,bp,1.68,14.047,10.697,0.013,191.252,2.324,g
2459421.6573250,2021-07-26.1604137,bp,1.57,14.239,10.730,0.012,185.250,1.950,g
2459421.6586330,2021-07-26.1617216,bp,1.66,14.263,10.722,0.011,186.835,1.852,g
2459422.9379020,2021-07-27.4409113,bH,1.62,14.931,10.667,0.005,196.613,1.020,g
2459422.9392097,2021-07-27.4422189,bH,1.49,14.894,10.652,0.006,199.102,1.168,g
2459422.9405099,2021-07-27.4435191,bH,1.71,14.854,10.667,0.006,196.491,1.045,g
2459425.6654392,2021-07-30.1682736,bp,1.54,15.003,10.665,0.005,196.765,0.918,g
2459425.6666777,2021-07-30.1695120,bp,1.54,15.015,10.695,0.005,191.441,0.946,g
2459425.6679219,2021-07-30.1707561,bp,1.5,14.983,10.644,0.005,200.524,0.969,g
2459427.6674430,2021-08-01.1701441,bp,1.79,14.186,10.665,0.012,196.793,2.222,g
2459430.1276933,2021-08-03.6302251,bD,1.48,15.181,10.701,0.005,190.420,0.858,g
2459430.1289416,2021-08-03.6314733,bD,1.5,15.177,10.753,0.005,181.344,0.872,g
2459430.9372123,2021-08-04.4396871,bH,1.51,14.943,10.637,0.006,202.046,1.061,g
2459430.9385159,2021-08-04.4409906,bH,1.54,14.896,10.634,0.006,202.456,1.079,g
2459430.9398110,2021-08-04.4422856,bH,1.48,14.842,10.639,0.007,201.684,1.236,g
2459431.1274271,2021-08-04.6298884,bD,1.63,15.155,10.666,0.005,196.563,0.926,g
2459431.1286972,2021-08-04.6311585,bD,1.49,15.117,10.661,0.005,197.405,0.910,g
2459431.9258469,2021-08-05.4282512,bH,1.49,14.989,10.636,0.005,202.056,0.926,g
2459431.9271349,2021-08-05.4295392,bH,1.44,14.984,10.608,0.005,207.412,0.964,g
2459431.9284240,2021-08-05.4308282,bH,1.42,14.999,10.640,0.005,201.261,0.933,g
2459433.1226598,2021-08-06.6249777,bD,1.49,15.199,10.651,0.004,199.437,0.854,g
2459433.1239054,2021-08-06.6262233,bD,1.54,15.209,10.658,0.004,198.074,0.846,g
2459433.1251720,2021-08-06.6274897,bD,1.54,15.201,10.651,0.005,199.281,0.871,g
2459434.1183915,2021-08-07.6206365,bD,1.45,15.205,10.644,0.004,200.813,0.848,g
2459434.1196568,2021-08-07.6219018,bD,1.5,15.215,10.656,0.004,198.458,0.807,g
2459434.1209174,2021-08-07.6231623,bD,1.48,15.212,10.660,0.004,197.761,0.821,g
2459435.1141976,2021-08-08.6163688,bD,1.53,15.194,10.636,0.004,202.170,0.857,g
2459435.1154512,2021-08-08.6176223,bD,1.49,15.194,10.638,0.004,201.774,0.825,g
2459435.1167154,2021-08-08.6188865,bD,1.51,15.203,10.643,0.004,200.772,0.853,g
2459435.8958354,2021-08-09.3979481,bH,1.52,14.972,10.600,0.005,209.001,0.946,g
2459435.8971362,2021-08-09.3992488,bH,1.52,14.978,10.614,0.005,206.271,1.011,g
2459436.8886052,2021-08-10.3906429,bH,1.47,14.971,10.607,0.005,207.692,1.030,g
